Modelo	Almacenamiento	PrecioB2B	PrecioB2C	Tipo	Pantalla	Año	Procesador
MacBook Pro (13 pulgadas, 2017, dos puertos Thunderbolt 3) A1708 Core i5 2.3	512GB	65		MacBook Pro	13 pulgadas	2017	Core I5 2.3
MacBook Pro (13 pulgadas, 2017, dos puertos Thunderbolt 3) A1708 Core i5 2.3	256GB	55		MacBook Pro	13 pulgadas	2017	Core I5 2.3
MacBook Pro (13 pulgadas, 2017, cuatro puertos Thunderbolt 3) A1706 Core i5 3.1	256GB	55		MacBook Pro	13 pulgadas	2017	Core I5 3.1
MacBook Pro (13 pulgadas, 2017, dos puertos Thunderbolt 3) A1708 Core i5 2.3	128GB	45		MacBook Pro	13 pulgadas	2017	Core I5 2.3
MacBook Air (15 pulgadas 2022) A3114 M3 8 Core CPU 10 Core GPU	2TB	910		MacBook Air	15 pulgadas	2022	M3
MacBook Air (13 pulgadas 2022) A3113 M3 8 Core CPU 10 Core GPU	2TB	770		MacBook Air	13 pulgadas	2022	M3
MacBook Air (15 pulgadas 2022) A3114 M3 8 Core CPU 10 Core GPU	1TB	750		MacBook Air	15 pulgadas	2022	M3
MacBook Air (13 pulgadas 2022) A3113 M3 8 Core CPU 10 Core GPU	1TB	530		MacBook Air	13 pulgadas	2022	M3
MacBook Air (15 pulgadas 2022) A3114 M3 8 Core CPU 10 Core GPU	512GB	510		MacBook Air	15 pulgadas	2022	M3
MacBook Air (13 pulgadas 2022) A3113 M3 8 Core CPU 10 Core GPU	512GB	455		MacBook Air	13 pulgadas	2022	M3
MacBook Air (15 pulgadas 2022) A3114 M3 8 Core CPU 10 Core GPU	256GB	440		MacBook Air	15 pulgadas	2022	M3
MacBook Air (13 pulgadas 2022) A3113 M3 8 Core CPU 10 Core GPU	256GB	420		MacBook Air	13 pulgadas	2022	M3
MacBook Air (13 pulgadas 2022) A3113 M3 8 Core CPU 8 Core GPU	256GB	380		MacBook Air	13 pulgadas	2022	M3
MacBook Air (15 pulgadas, 2023) A2941 M2 8 Core CPU 10 Core GPU	2TB	470		MacBook Air	15 pulgadas	2023	M2
MacBook Air (15 pulgadas, 2023) A2941 M2 8 Core CPU 10 Core GPU	1TB	405		MacBook Air	15 pulgadas	2023	M2
MacBook Air (15 pulgadas, 2023) A2941 M2 8 Core CPU 10 Core GPU	512GB	390		MacBook Air	15 pulgadas	2023	M2
MacBook Air (15 pulgadas, 2023) A2941 M2 8 Core CPU 10 Core GPU	256GB	330		MacBook Air	15 pulgadas	2023	M2
MacBook Air (13 pulgadas 2022) A2681 M2 8 Core CPU 10 Core GPU	2TB	345		MacBook Air	13 pulgadas	2022	M2
MacBook Air (13 pulgadas 2022) A2681 M2 8 Core CPU 8 Core GPU	2TB	320		MacBook Air	13 pulgadas	2022	M2
MacBook Air (13 pulgadas 2022) A2681 M2 8 Core CPU 10 Core GPU	1TB	300		MacBook Air	13 pulgadas	2022	M2
MacBook Air (13 pulgadas 2022) A2681 M2 8 Core CPU 10 Core GPU	512GB	275		MacBook Air	13 pulgadas	2022	M2
MacBook Air (13 pulgadas 2022) A2681 M2 8 Core CPU 8 Core GPU	1TB	270		MacBook Air	13 pulgadas	2022	M2
MacBook Air (13 pulgadas 2022) A2681 M2 8 Core CPU 8 Core GPU	512GB	260		MacBook Air	13 pulgadas	2022	M2
MacBook Air (13 pulgadas 2022) A2681 M2 8 Core CPU 10 Core GPU	256GB	250		MacBook Air	13 pulgadas	2022	M2
MacBook Air (13 pulgadas 2022) A2681 M2 8 Core CPU 8 Core GPU	256GB	235		MacBook Air	13 pulgadas	2022	M2
MacBook Air (13 pulgadas 2020) A2337 M1 8 Core CPU 8 Core GPU	2TB	245		MacBook Air	13 pulgadas	2020	M1
MacBook Air (13 pulgadas 2020) A2337 M1 8 Core CPU 7 Core GPU	2TB	240		MacBook Air	13 pulgadas	2020	M1
MacBook Air (13 pulgadas 2020) A2337 M1 8 Core CPU 7 Core GPU	1TB	215		MacBook Air	13 pulgadas	2020	M1
MacBook Air (13 pulgadas 2020) A2337 M1 8 Core CPU 8 Core GPU	1TB	215		MacBook Air	13 pulgadas	2020	M1
MacBook Air (13 pulgadas 2020) A2337 M1 8 Core CPU 8 Core GPU	512GB	210		MacBook Air	13 pulgadas	2020	M1
MacBook Air (13 pulgadas 2020) A2337 M1 8 Core CPU 7 Core GPU	512GB	195		MacBook Air	13 pulgadas	2020	M1
MacBook Air (13 pulgadas 2020) A2337 M1 8 Core CPU 7 Core GPU	256GB	175		MacBook Air	13 pulgadas	2020	M1
MacBook Air (13 pulgadas 2020) A2337 M1 8 Core CPU 7 Core GPU	128GB	135		MacBook Air	13 pulgadas	2020	M1
MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i7 1.2	2TB	225		MacBook Air	13 pulgadas	2020	Core I7 1.2
MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i7 1.2	1TB	215		MacBook Air	13 pulgadas	2020	Core I7 1.2
MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i5 1.1	2TB	195		MacBook Air	13 pulgadas	2020	Core I5 1.1
MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i7 1.2	512GB	195		MacBook Air	13 pulgadas	2020	Core I7 1.2
MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i5 1.1	1TB	185		MacBook Air	13 pulgadas	2020	Core I5 1.1
MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i5 1.1	512GB	180		MacBook Air	13 pulgadas	2020	Core I5 1.1
MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i3 1.1	2TB	175		MacBook Air	13 pulgadas	2020	Core I3 1.1
MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i7 1.2	256GB	175		MacBook Air	13 pulgadas	2020	Core I7 1.2
MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i3 1.1	1TB	170		MacBook Air	13 pulgadas	2020	Core I3 1.1
MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i3 1.1	512GB	165		MacBook Air	13 pulgadas	2020	Core I3 1.1
MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i5 1.1	256GB	165		MacBook Air	13 pulgadas	2020	Core I5 1.1
MacBook Air (Retina, 13 pulgadas, 2020) A2179 Core i3 1.1	256GB	150		MacBook Air	13 pulgadas	2020	Core I3 1.1
MacBook Air (Retina, 13 pulgadas, 2019) A1932 Core i5 1.6	1TB	90		MacBook Air	13 pulgadas	2019	Core I5 1.6
MacBook Air (Retina, 13 pulgadas, 2019) A1932 Core i5 1.6	512GB	85		MacBook Air	13 pulgadas	2019	Core I5 1.6
MacBook Air (Retina, 13 pulgadas, 2019) A1932 Core i5 1.6	256GB	65		MacBook Air	13 pulgadas	2019	Core I5 1.6
MacBook Air (Retina, 13 pulgadas, 2019) A1932 Core i5 1.6	128GB	55		MacBook Air	13 pulgadas	2019	Core I5 1.6
MacBook Air (Retina, 13 pulgadas, 2018) A1932 Core i5 1.6	1.5TB	90		MacBook Air	13 pulgadas	2018	Core I5 1.6
